주차장관리번호,주차장명,경도,위도,주차장구분,주차장유형,주차장지번주소,주차장도로명주소,주차구획수
19748,홍제1동 제1공영주차장,126.9360997,37.58506479,공영,노외,서울특별시 서대문구 홍제1동 361-36,서울특별시 서대문구 홍제1동 361-36,30
19757,보라매제1공영,126.934517,37.488519,공영,노외,서울특별시 관악구 봉천동 산 110-4,서울특별시 관악구 봉천로 21길 38,133
19761,연희동 제3공영주차장,126.9344394,37.56753413,공영,노외,서울특별시 서대문구 연희동 50-3,서울특별시 서대문구 연희동 50-3,35
19762,신촌동 제1공영주차장,126.9343517,37.55912599,공영,노외,서울특별시 서대문구 창천동 70-34,서울특별시 서대문구 성산로22길 40,33
19763,연희동 제1공영주차장,126.9343227,37.57672782,공영,노외,서울특별시 서대문구 연희동 151-32,서울특별시 서대문구 연희동 151-32,24
19764,홍은2동 제3공영주차장,126.9342233,37.58676844,공영,노외,서울특별시 서대문구 홍은동 265-26,서울특별시 서대문구 연희로39길 12,54
19771,당곡중공영,126.933037,37.491952,공영,노외,서울특별시 관악구 봉천동 682,서울특별시 관악구 봉천로 13길 101,159
19783,홍은2동 제2공영주차장,126.9319219,37.58757082,공영,노외,서울특별시 서대문구 홍은2동 265-170,서울특별시 서대문구 연희로39나길 25,24
19792,삼성동제1공영,126.930985,37.468629,공영,노상,서울특별시 관악구 신림동 808-498,서울특별시 관악구 원신길 78~224구간,105
19794,홍연초등학교 공영주차장,126.9309307,37.5819985,공영,노외,서울특별시 서대문구 홍은2동 305,서울특별시 서대문구 백련사길 55,89
19798,연희사러가쇼핑센터 앞 공영주차장,126.9296631,37.56715296,공영,노상,서울특별시 서대문구 연희동 131-1,서울특별시 서대문구 연희맛로 23 (연희동),31
19802,원신공영,126.929213,37.470066,공영,노외,서울특별시 관악구 신림동 366,서울특별시 관악구 양지길 63,174
19805,서원동제1공영,126.928912,37.482217,공영,노상,서울특별시 관악구 신림동 1638-1,서울특별시 관악구 관천로 32~44구간,34
19809,연희동 제6공영주차장,126.9279849,37.57494376,공영,노외,서울특별시 서대문구 연희동 706-2,서울특별시 서대문구 홍연길 16,43
19814,연희동 제2공영주차장,126.9276569,37.57231265,공영,노외,서울특별시 서대문구 연희동 105-8,서울특별시 서대문구 연희동 105-8,40
19821,신림동제2공영,126.925676,37.484771,공영,노상,서울특별시 관악구 신림동 1433-169,서울특별시 관악구 관천로 66 일대,33
19823,홍은2동 제1공영주차장,126.9256263,37.57892469,공영,노외,서울특별시 서대문구 홍은2동 410-44,서울특별시 서대문구 증가로10길 60-23,29
19826,연신중학교지하공영주차장,126.9250988,37.6233238,공영,노외,서울특별시 은평구 불광동 400-4,서울특별시 은평구 연서로33길 16-32,137
19832,연광초교지하공영주차장,126.9244375,37.6239946,공영,노외,서울특별시 은평구 불광동 산112번지2호,서울특별시 은평구 연서로35길 37,152
19836,새장골 공영주차장,126.923549,37.6244693,공영,노외,서울특별시 은평구 불광동 480번지352호,서울특별시 은평구 통일로92다길 16-23,40
19837,신림동제1공영,126.92339,37.487306,공영,노외,서울특별시 관악구 신림동 1456-3,서울특별시 관악구 관천로 98,191
19840,난곡동제1공영,126.923131,37.472188,공영,노외,서울특별시 관악구 신림동 626-82,서울특별시 관악구 난곡로34길 71,119
19841,은평평화공원지하공영주차장,126.9230674,37.6057149,공영,노외,서울특별시 은평구 녹번동 153번지1호,서울특별시 은평구 서오릉로 47,143
19842,연희동 제5공영주차장,126.9229174,37.57101222,공영,노외,서울특별시 서대문구 연희동 522-2,서울특별시 서대문구 홍제천로2길 83,61
19843,난우중공영,126.922799,37.466701,공영,노외,서울특별시 관악구 신림동 652-156,서울특별시 관악구 난곡로 16길 32,71
19845,연희동 제4공영주차장,126.9226912,37.57082827,공영,노외,서울특별시 서대문구 연희동 522-4,서울특별시 서대문구 홍제천로 54-19,14
19850,신길7동공영주차장,126.9222348,37.5082383,공영,노외,서울특별시 영등포구 신길동 1175,서울특별시 영등포구 여의대방로45길 18,18
19851,남부초공영,126.922112,37.485066,공영,노외,서울특별시 관악구 신림동 467,서울특별시 관악구 남부순환로 163길 14,135
19855,남가좌2동 제1공영주차장,126.9217973,37.57701932,공영,노외,서울특별시 서대문구 남가좌2동 64-8,서울특별시 서대문구 가재울로14길 22,71
19890,신길1동공영주차장,126.9186082,37.5102262,공영,노외,서울특별시 영등포구 신길동 119-6,서울특별시 영등포구 도신로62길 22,18
19899,신길역사(1호선)공영주차장,126.9174697,37.5157455,공영,노외,서울특별시 영등포구 신길1동 54-2,서울특별시 영등포구 영등포로 327(신길동),25
19905,남가좌1동 제2공영주차장,126.9163081,37.56982562,공영,노외,서울특별시 서대문구 남가좌1동 152-83,서울특별시 서대문구 남가좌1동 152-83,32
19916,신사동제1공영,126.915444,37.484412,공영,노외,서울특별시 관악구 신림동 511-1,서울특별시 관악구 남부순환로 153길 51,41
19919,갈현1동 공영주차장,126.9153367,37.6264981,공영,노외,서울특별시 은평구 갈현동 9번지112호,서울특별시 은평구 갈현로41가길 16,61
19920,응암3동 공영주차장,126.9152893,37.5935056,공영,노외,서울특별시 은평구 응암동 580번지4호,서울특별시 은평구 불광천길 436,160
19921,영등포여고공영주차장,126.9152716,37.5153766,공영,노외,서울특별시 영등포구 영등포본동 184-3,서울특별시 영등포구 영등포로62길 13 (신길동),98
19924,신길환승(5호선)공영주차장,126.9146626,37.5176659,공영,노외,서울특별시 영등포구 영등포1가35,서울특별시 영등포구 경인로114가길 9 (영등포동1가),88
19927,영등포본동제2공영주차장,126.9140678,37.5132841,공영,노외,서울특별시 영등포구 신길2동186-355,서울특별시 영등포구 신길로60길 34 (신길동),61
19936,북가좌2동 제1공영주차장,126.9134769,37.57874702,공영,노외,서울특별시 서대문구 북가좌2동 73-16,서울특별시 서대문구 북가좌2동 73-16,22
19867,매바위공영주차장,126.9207863,37.5865763,공영,노외,서울특별시 은평구 응암동 747번지21호,서울특별시 은평구 가좌로5길 16-1,80
19875,미성동제4공영,126.919916,37.476303,공영,노외,서울특별시 관악구 신림동 597-1,서울특별시 관악구 난우10가길 2,79
19959,신길4동공영주차장,126.9120133,37.5053559,공영,노외,서울특별시 영등포구 신길동236-10,서울특별시 영등포구 가마산로 502 (신길동),24
19963,신길4동1동1마을공원공영주차장,126.9117293,37.5070797,공영,노외,서울특별시 영등포구 신길4동 232-20,서울특별시 영등포구 신길로40길 5 (신길동),130
19970,신길6동공영주차장,126.9113371,37.5026213,공영,노외,서울특별시 영등포구 신길동3203-1,서울특별시 영등포구 신길로40길 5,132
